dest_ip,metadata_comment
84.111.168.0/21,AS8551 IPv4
62.219.50.0/24,AS8551 IPv4
79.179.51.0/24,AS8551 IPv4
31.168.224.0/20,AS8551 IPv4
79.178.22.0/24,AS8551 IPv4
79.179.195.0/24,AS8551 IPv4
79.181.128.0/20,AS8551 IPv4
79.178.55.0/24,AS8551 IPv4
84.108.144.0/20,AS8551 IPv4
79.178.140.0/24,AS8551 IPv4
82.80.247.0/24,AS8551 IPv4
84.109.80.0/22,AS8551 IPv4
84.109.128.0/20,AS8551 IPv4
79.179.191.0/24,AS8551 IPv4
2a10:8003:4000::/37,AS8551 IPv6
79.181.96.0/19,AS8551 IPv4
82.80.232.0/24,AS8551 IPv4
31.168.250.0/24,AS8551 IPv4
79.179.68.0/24,AS8551 IPv4
2a10:8000:9800::/37,AS8551 IPv6
2a10:8000:c000::/37,AS8551 IPv6
84.110.40.0/22,AS8551 IPv4
62.219.0.0/16,AS8551 IPv4
84.108.160.0/20,AS8551 IPv4
79.177.80.0/23,AS8551 IPv4
82.80.248.0/24,AS8551 IPv4
2a10:8002:800::/37,AS8551 IPv6
84.108.32.0/20,AS8551 IPv4
212.179.113.0/24,AS8551 IPv4
84.110.208.0/20,AS8551 IPv4
84.108.152.0/22,AS8551 IPv4
79.178.46.0/24,AS8551 IPv4
82.80.216.0/24,AS8551 IPv4
79.177.48.0/20,AS8551 IPv4
79.178.195.0/24,AS8551 IPv4
79.181.16.0/20,AS8551 IPv4
79.178.169.0/24,AS8551 IPv4
79.181.32.0/20,AS8551 IPv4
82.81.208.0/20,AS8551 IPv4
212.179.228.0/22,AS8551 IPv4
79.177.224.0/20,AS8551 IPv4
79.179.176.0/20,AS8551 IPv4
84.109.168.0/21,AS8551 IPv4
79.178.36.0/24,AS8551 IPv4
109.67.192.0/20,AS8551 IPv4
84.110.172.0/22,AS8551 IPv4
79.178.170.0/24,AS8551 IPv4
79.179.128.0/19,AS8551 IPv4
212.179.123.0/24,AS8551 IPv4
79.181.160.0/20,AS8551 IPv4
109.67.0.0/18,AS8551 IPv4
2a10:8001:b800::/37,AS8551 IPv6
79.181.208.0/20,AS8551 IPv4
2a10:8000:c800::/37,AS8551 IPv6
31.168.240.0/21,AS8551 IPv4
206.82.140.0/24,AS8551 IPv4
212.179.244.0/23,AS8551 IPv4
84.108.56.0/23,AS8551 IPv4
79.179.56.0/24,AS8551 IPv4
84.110.80.0/20,AS8551 IPv4
79.179.142.0/24,AS8551 IPv4
2a10:8002:8000::/37,AS8551 IPv6
82.80.10.0/24,AS8551 IPv4
79.179.201.0/24,AS8551 IPv4
2a10:8002::/37,AS8551 IPv6
79.178.42.0/24,AS8551 IPv4
31.168.0.0/16,AS8551 IPv4
79.178.132.0/24,AS8551 IPv4
2001:4cd0:aa06::/47,AS8551 IPv6
84.108.9.0/24,AS8551 IPv4
84.109.192.0/20,AS8551 IPv4
79.178.17.0/24,AS8551 IPv4
79.178.7.0/24,AS8551 IPv4
2a10:8002:9000::/37,AS8551 IPv6
192.117.112.0/21,AS8551 IPv4
79.179.153.0/24,AS8551 IPv4
84.110.32.0/20,AS8551 IPv4
2a10:8000:7000::/37,AS8551 IPv6
79.179.179.0/24,AS8551 IPv4
79.178.192.0/24,AS8551 IPv4
81.218.0.0/16,AS8551 IPv4
2a10:8000:1000::/37,AS8551 IPv6
82.81.74.0/23,AS8551 IPv4
79.178.54.0/24,AS8551 IPv4
82.80.11.0/24,AS8551 IPv4
79.178.155.0/24,AS8551 IPv4
79.178.26.0/24,AS8551 IPv4
2a10:8001:9000::/37,AS8551 IPv6
81.218.168.0/24,AS8551 IPv4
109.67.112.0/20,AS8551 IPv4
84.108.180.0/22,AS8551 IPv4
82.80.4.0/23,AS8551 IPv4
212.179.240.0/24,AS8551 IPv4
82.80.1.0/24,AS8551 IPv4
79.179.8.0/24,AS8551 IPv4
212.179.115.0/24,AS8551 IPv4
79.181.184.0/21,AS8551 IPv4
79.178.198.0/24,AS8551 IPv4
109.67.40.0/21,AS8551 IPv4
84.111.216.0/21,AS8551 IPv4
79.181.136.0/21,AS8551 IPv4
62.219.224.0/19,AS8551 IPv4
79.179.38.0/24,AS8551 IPv4
79.179.131.0/24,AS8551 IPv4
192.117.232.0/21,AS8551 IPv4
2a10:8001:d800::/37,AS8551 IPv6
79.179.139.0/24,AS8551 IPv4
79.178.12.0/24,AS8551 IPv4
82.81.0.0/20,AS8551 IPv4
79.178.175.0/24,AS8551 IPv4
212.25.78.0/24,AS8551 IPv4
2a10:8001:1800::/37,AS8551 IPv6
79.177.80.0/20,AS8551 IPv4
84.108.198.0/23,AS8551 IPv4
62.219.60.0/23,AS8551 IPv4
79.178.41.0/24,AS8551 IPv4
79.178.64.0/20,AS8551 IPv4
2a10:8002:e800::/37,AS8551 IPv6
79.176.0.0/13,AS8551 IPv4
62.219.99.0/24,AS8551 IPv4
79.179.80.0/23,AS8551 IPv4
84.108.200.0/22,AS8551 IPv4
81.218.1.0/24,AS8551 IPv4
79.179.23.0/24,AS8551 IPv4
79.178.8.0/24,AS8551 IPv4
79.179.157.0/24,AS8551 IPv4
212.179.232.0/21,AS8551 IPv4
79.178.240.0/20,AS8551 IPv4
79.179.197.0/24,AS8551 IPv4
2a10:8003:8000::/37,AS8551 IPv6
82.80.9.0/24,AS8551 IPv4
84.108.224.0/20,AS8551 IPv4
84.109.248.0/22,AS8551 IPv4
84.111.232.0/21,AS8551 IPv4
84.109.52.0/22,AS8551 IPv4
79.179.12.0/24,AS8551 IPv4
192.115.132.0/24,AS8551 IPv4
79.178.96.0/20,AS8551 IPv4
79.178.51.0/24,AS8551 IPv4
79.179.183.0/24,AS8551 IPv4
82.80.176.0/20,AS8551 IPv4
84.110.166.0/23,AS8551 IPv4
84.111.108.0/22,AS8551 IPv4
79.178.31.0/24,AS8551 IPv4
84.108.10.0/23,AS8551 IPv4
212.179.153.0/24,AS8551 IPv4
79.179.32.0/24,AS8551 IPv4
82.80.253.0/24,AS8551 IPv4
79.178.37.0/24,AS8551 IPv4
79.179.34.0/24,AS8551 IPv4
79.181.76.0/22,AS8551 IPv4
79.178.64.0/24,AS8551 IPv4
79.178.48.0/20,AS8551 IPv4
79.179.240.0/20,AS8551 IPv4
192.117.104.0/21,AS8551 IPv4
84.108.188.0/22,AS8551 IPv4
84.111.192.0/20,AS8551 IPv4
84.111.100.0/22,AS8551 IPv4
2a10:8000:e000::/37,AS8551 IPv6
79.178.171.0/24,AS8551 IPv4
84.109.64.0/23,AS8551 IPv4
82.81.250.0/23,AS8551 IPv4
84.109.112.0/22,AS8551 IPv4
62.219.84.0/24,AS8551 IPv4
84.111.152.0/22,AS8551 IPv4
79.179.168.0/24,AS8551 IPv4
84.111.72.0/22,AS8551 IPv4
79.178.148.0/24,AS8551 IPv4
79.179.71.0/24,AS8551 IPv4
84.108.221.0/24,AS8551 IPv4
84.108.192.0/22,AS8551 IPv4
82.81.240.0/20,AS8551 IPv4
79.179.166.0/24,AS8551 IPv4
84.109.228.0/22,AS8551 IPv4
31.168.16.0/20,AS8551 IPv4
212.179.7.0/24,AS8551 IPv4
79.179.188.0/24,AS8551 IPv4
81.218.96.0/19,AS8551 IPv4
72.246.151.0/24,AS8551 IPv4
82.81.112.0/20,AS8551 IPv4
84.108.136.0/22,AS8551 IPv4
185.187.34.0/24,AS8551 IPv4
2a10:8001:800::/37,AS8551 IPv6
79.178.16.0/20,AS8551 IPv4
192.114.64.0/20,AS8551 IPv4
79.179.172.0/24,AS8551 IPv4
81.218.160.0/19,AS8551 IPv4
212.179.112.0/23,AS8551 IPv4
104.79.200.0/22,AS8551 IPv4
82.81.158.0/23,AS8551 IPv4
79.179.96.0/19,AS8551 IPv4
79.177.0.0/20,AS8551 IPv4
79.177.96.0/19,AS8551 IPv4
84.108.120.0/22,AS8551 IPv4
62.219.77.0/24,AS8551 IPv4
84.108.184.0/22,AS8551 IPv4
79.179.167.0/24,AS8551 IPv4
84.111.160.0/20,AS8551 IPv4
2a10:8002:c000::/37,AS8551 IPv6
79.178.129.0/24,AS8551 IPv4
84.110.64.0/20,AS8551 IPv4
79.178.133.0/24,AS8551 IPv4
79.179.50.0/24,AS8551 IPv4
212.179.116.0/22,AS8551 IPv4
79.177.76.0/22,AS8551 IPv4
2a10:8003:3800::/37,AS8551 IPv6
192.117.120.0/21,AS8551 IPv4
79.179.53.0/24,AS8551 IPv4
79.179.47.0/24,AS8551 IPv4
79.179.149.0/24,AS8551 IPv4
79.178.158.0/24,AS8551 IPv4
79.179.52.0/24,AS8551 IPv4
212.179.236.0/24,AS8551 IPv4
82.80.12.0/24,AS8551 IPv4
79.181.224.0/19,AS8551 IPv4
192.115.23.0/24,AS8551 IPv4
212.179.114.0/23,AS8551 IPv4
79.178.163.0/24,AS8551 IPv4
81.218.217.0/24,AS8551 IPv4
212.179.192.0/20,AS8551 IPv4
79.179.176.0/24,AS8551 IPv4
79.179.175.0/24,AS8551 IPv4
81.218.128.0/19,AS8551 IPv4
62.219.144.0/21,AS8551 IPv4
79.178.191.0/24,AS8551 IPv4
79.179.196.0/24,AS8551 IPv4
79.179.186.0/24,AS8551 IPv4
79.179.64.0/21,AS8551 IPv4
79.178.30.0/24,AS8551 IPv4
79.178.176.0/24,AS8551 IPv4
79.178.149.0/24,AS8551 IPv4
79.179.185.0/24,AS8551 IPv4
84.109.224.0/22,AS8551 IPv4
79.179.196.0/23,AS8551 IPv4
84.110.104.0/23,AS8551 IPv4
2a10:8000::/37,AS8551 IPv6
84.110.44.0/23,AS8551 IPv4
31.168.144.0/20,AS8551 IPv4
2a10:8001:c800::/37,AS8551 IPv6
62.219.128.0/19,AS8551 IPv4
109.67.48.0/20,AS8551 IPv4
79.178.143.0/24,AS8551 IPv4
192.114.75.0/24,AS8551 IPv4
79.181.128.0/19,AS8551 IPv4
2a10:8001:3800::/37,AS8551 IPv6
84.111.16.0/20,AS8551 IPv4
84.111.16.0/23,AS8551 IPv4
62.219.208.0/22,AS8551 IPv4
212.179.52.0/24,AS8551 IPv4
81.218.241.0/24,AS8551 IPv4
217.22.118.0/24,AS8551 IPv4
79.179.80.0/20,AS8551 IPv4
84.108.0.0/20,AS8551 IPv4
2a10:8002:b000::/37,AS8551 IPv6
79.178.193.0/24,AS8551 IPv4
84.108.128.0/20,AS8551 IPv4
31.168.251.0/24,AS8551 IPv4
109.67.16.0/20,AS8551 IPv4
79.178.180.0/24,AS8551 IPv4
79.179.133.0/24,AS8551 IPv4
79.179.199.0/24,AS8551 IPv4
79.179.33.0/24,AS8551 IPv4
84.108.126.0/23,AS8551 IPv4
81.218.222.0/24,AS8551 IPv4
79.181.0.0/20,AS8551 IPv4
81.218.136.0/21,AS8551 IPv4
79.179.30.0/24,AS8551 IPv4
82.81.234.0/23,AS8551 IPv4
109.64.0.0/14,AS8551 IPv4
79.178.141.0/24,AS8551 IPv4
84.110.209.0/24,AS8551 IPv4
82.81.8.0/21,AS8551 IPv4
79.179.224.0/19,AS8551 IPv4
79.178.172.0/24,AS8551 IPv4
79.179.146.0/24,AS8551 IPv4
79.178.190.0/24,AS8551 IPv4
84.110.176.0/20,AS8551 IPv4
84.109.176.0/23,AS8551 IPv4
79.178.25.0/24,AS8551 IPv4
84.109.36.0/22,AS8551 IPv4
79.179.135.0/24,AS8551 IPv4
84.109.224.0/20,AS8551 IPv4
79.178.187.0/24,AS8551 IPv4
84.111.180.0/23,AS8551 IPv4
212.179.128.0/19,AS8551 IPv4
79.178.178.0/24,AS8551 IPv4
82.80.6.0/23,AS8551 IPv4
84.108.4.0/23,AS8551 IPv4
2a10:8010::/32,AS8551 IPv6
2001:4cd0:aa18::/47,AS8551 IPv6
79.178.35.0/24,AS8551 IPv4
79.178.176.0/20,AS8551 IPv4
81.218.248.0/24,AS8551 IPv4
84.108.144.0/23,AS8551 IPv4
31.168.112.0/20,AS8551 IPv4
84.108.236.0/22,AS8551 IPv4
79.178.19.0/24,AS8551 IPv4
79.179.62.0/24,AS8551 IPv4
2a10:8000:4800::/37,AS8551 IPv6
62.219.110.0/23,AS8551 IPv4
79.178.188.0/24,AS8551 IPv4
109.67.80.0/20,AS8551 IPv4
31.168.0.0/20,AS8551 IPv4
79.178.128.0/24,AS8551 IPv4
79.178.147.0/24,AS8551 IPv4
62.219.91.0/24,AS8551 IPv4
79.177.72.0/22,AS8551 IPv4
82.80.80.0/20,AS8551 IPv4
84.110.16.0/20,AS8551 IPv4
79.178.144.0/20,AS8551 IPv4
84.108.40.0/22,AS8551 IPv4
109.67.240.0/20,AS8551 IPv4
79.181.80.0/20,AS8551 IPv4
79.181.240.0/20,AS8551 IPv4
84.108.204.0/22,AS8551 IPv4
79.178.0.0/20,AS8551 IPv4
79.179.27.0/24,AS8551 IPv4
79.179.7.0/24,AS8551 IPv4
82.80.254.0/23,AS8551 IPv4
79.179.163.0/24,AS8551 IPv4
84.109.16.0/20,AS8551 IPv4
2a10:8002:a000::/37,AS8551 IPv6
79.177.40.0/21,AS8551 IPv4
2001:4cd0:aa0c::/47,AS8551 IPv6
2a10:8000:2000::/37,AS8551 IPv6
79.179.182.0/24,AS8551 IPv4
31.168.176.0/20,AS8551 IPv4
79.181.192.0/19,AS8551 IPv4
82.80.192.0/20,AS8551 IPv4
