rank,hosting_provider,as_number,routed_ipv4_addresses,phishing_attacks,phishing_attack_score
1,"Cloudflare, Inc.",13335,1389312,380272,"2,737.1"
2,AEZA GROUP Ltd,210644,94464,8692,920.1
3,DingFeng XinHui(HongKong) Technology Limited,134175,322560,19532,605.5
4,"Fastly, Inc.",54113,1258528,60879,483.7
5,BGP Consultancy Pte Ltd,64050,147712,6613,447.7
6,ACEVILLE PTE.LTD.,139341,241664,8972,371.3
7,Netsec Limited,45753,104960,3888,370.4
8,Cybersmart,36874,311808,11237,360.4
9,XNNET LLC,932,82944,2971,358.2
10,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,135377,194048,6940,357.6
11,AROSSCLOUD INC.,400619,192000,5822,303.2
12,HENGDA NETWORK LIMITED,138415,334592,9986,298.5
13,"Hong Kong Communications International Co., Limited",140227,114944,3388,294.8
14,"Namecheap, Inc.",22612,117888,3469,294.3
15,FSC NETWORK LTD,18186,344576,8979,260.6
16,RouterHosting LLC,14956,54272,1219,224.6
17,"""Domain names registrar REG.RU"", Ltd",197695,113664,2224,195.7
18,"Cloudflare London, LLC",209242,111872,1904,170.2
19,"POWER LINE (HK) CO., LIMITED",132839,847104,13505,159.4
20,Zillion Network Inc.,54801,386304,5192,134.4
