dest_ip,dest_port
64.202.184.249,50615
45.172.177.1,59341
67.43.236.18,13551
80.110.46.203,13001
proxy.vpn-naoborot.online,2052
185.93.89.165,4123
72.10.160.92,25427
95.67.72.138,1080
72.10.164.178,31853
45.12.132.212,51991
72.10.164.178,27135
185.93.89.172,4043
64.202.184.249,7652
185.93.89.172,5404
201.150.119.170,999
72.10.164.178,9895
157.175.152.241,1080
3.9.12.67,1001
45.10.53.62,81
67.43.228.250,1469
98.152.200.61,8081
152.53.36.109,47239
65.1.40.47,1080
45.32.216.124,3128
190.14.224.244,3629
23.122.184.9,8888
54.214.109.103,10001
131.189.14.249,1080
155.138.237.158,3128
139.59.1.14,8080
200.55.131.45,3128
66.42.87.2,3128
13.203.74.173,7777
52.10.155.147,3128
13.126.217.46,3128
101.71.72.250,52300
72.10.160.170,19537
185.93.89.145,10094
68.66.251.108,3128
200.55.131.46,3128
67.43.236.20,9497
45.76.251.79,3128
104.238.179.158,3128
146.70.164.210,1080
107.172.208.184,1080
170.78.211.161,1080
72.10.160.170,5429
109.123.238.230,14602
128.199.121.61,9090
72.10.160.94,25427
217.79.152.134,60606
200.41.182.243,4145
45.128.135.255,1080
64.202.184.249,60221
3.9.12.67,3128
166.62.121.102,45886
185.93.89.147,4765
64.202.184.249,15986
185.93.89.144,16987
185.233.118.31,8088
188.235.61.70,4153
72.10.160.172,19537
64.202.184.249,23616
209.141.45.119,56666
187.210.136.88,4153
209.97.150.167,3128
144.202.20.116,3128
195.154.184.80,8080
159.75.163.60,8080
13.236.4.254,3128
45.12.132.215,51991
45.142.193.26,43893
103.41.33.246,51951
134.209.29.120,80
67.43.228.253,12533
45.140.143.77,18080
72.10.164.178,21359
172.188.122.92,80
50.63.12.101,54885
190.83.2.125,999
185.233.118.31,8084
45.170.226.250,999
172.233.14.116,1080
159.203.61.169,8080
185.93.89.145,25282
86.109.3.23,10004
78.37.69.252,3128
159.203.61.169,3128
64.202.184.249,46528
128.140.46.169,50202
44.214.138.43,3128
45.142.193.18,18617
67.43.236.20,6935
67.43.236.21,3973
78.108.41.124,9110
209.97.150.167,8080
184.95.220.42,1080
18.170.63.85,999
201.131.95.182,4153
31.40.144.129,8888
91.211.177.37,3629
194.183.190.10,8080
116.62.230.32,3128
72.10.160.94,6825
67.43.228.253,11119
152.53.36.109,33069
128.140.46.169,59893
45.12.132.30,51991
172.232.236.34,1080
138.68.60.8,8080
72.10.160.172,3963
72.10.160.90,8695
79.116.61.78,3128
166.62.121.196,61764
64.202.184.249,25118
128.199.113.85,9090
47.92.93.226,8888
170.106.144.64,8090
146.190.80.158,9090
72.10.164.178,1203
72.10.160.90,12061
152.53.36.109,15727
hfe097pf351.vpn.mynetname.net,3128
50.205.202.249,3128
135.181.232.156,49152
35.177.23.165,8000
167.71.171.141,1080
161.35.82.57,1080
161.35.70.249,80
50.63.12.101,59998
67.43.228.252,27289
128.199.114.189,9090
162.243.172.98,1080
50.63.12.101,45801
111.72.193.199,2324
67.43.236.20,2823
185.93.89.156,8756
43.130.47.131,56289
209.97.150.167,80
50.63.12.101,61120
161.35.70.249,8080
198.199.86.11,3128
200.43.231.16,4153
64.202.184.249,62162
108.62.1.97,5257
101.71.72.253,52300
45.12.132.25,51991
185.93.89.164,9487
95.43.244.15,4153
35.154.216.140,3128
13.40.152.64,3129
45.12.132.28,51991
3.147.13.131,3128
185.93.89.187,7041
128.90.169.114,8118
64.226.85.75,1080
34.143.143.61,7777
45.128.133.225,1080
181.48.217.158,5678
