dest_ip,dest_port,metadata_comment
103.51.205.108,8090,proxylist.txt
172.67.72.232,80,proxylist.txt
172.67.182.158,80,proxylist.txt
172.64.33.156,80,proxylist.txt
141.101.123.109,80,proxylist.txt
188.114.96.1,80,proxylist.txt
172.67.161.222,80,proxylist.txt
45.131.5.147,80,proxylist.txt
173.245.49.199,80,proxylist.txt
141.101.123.213,80,proxylist.txt
141.101.122.119,80,proxylist.txt
141.101.121.236,80,proxylist.txt
141.101.121.245,80,proxylist.txt
172.67.176.152,80,proxylist.txt
172.67.81.196,80,proxylist.txt
172.67.75.198,80,proxylist.txt
31.43.179.110,80,proxylist.txt
185.162.231.142,80,proxylist.txt
172.67.181.0,80,proxylist.txt
173.245.49.28,80,proxylist.txt
69.84.182.18,80,proxylist.txt
45.131.5.100,80,proxylist.txt
45.131.7.135,80,proxylist.txt
172.67.73.160,80,proxylist.txt
103.21.244.109,80,proxylist.txt
172.67.75.187,80,proxylist.txt
223.159.210.130,7890,proxylist.txt
172.67.254.167,80,proxylist.txt
110.242.70.68,443,proxylist.txt
103.21.244.80,80,proxylist.txt
185.146.173.200,80,proxylist.txt
141.101.122.45,80,proxylist.txt
172.64.146.53,80,proxylist.txt
188.114.97.1,80,proxylist.txt
172.67.252.132,80,proxylist.txt
45.131.7.222,80,proxylist.txt
172.67.167.71,80,proxylist.txt
172.67.70.68,80,proxylist.txt
141.101.123.245,80,proxylist.txt
141.101.123.106,80,proxylist.txt
141.101.122.157,80,proxylist.txt
141.101.122.25,80,proxylist.txt
103.21.244.192,80,proxylist.txt
185.146.173.20,80,proxylist.txt
199.34.228.73,80,proxylist.txt
172.67.167.19,80,proxylist.txt
113.200.109.19,80,proxylist.txt
188.114.96.1,80,proxylist.txt
172.67.70.48,80,proxylist.txt
172.67.138.84,80,proxylist.txt
23.227.39.23,80,proxylist.txt
172.64.146.47,80,proxylist.txt
23.227.39.68,80,proxylist.txt
141.101.123.95,80,proxylist.txt
188.114.97.1,80,proxylist.txt
173.245.49.235,80,proxylist.txt
172.67.127.188,80,proxylist.txt
172.67.176.167,80,proxylist.txt
172.67.72.43,80,proxylist.txt
172.67.78.95,80,proxylist.txt
173.245.58.183,80,proxylist.txt
188.114.96.1,80,proxylist.txt
185.146.173.20,80,proxylist.txt
185.146.173.20,80,proxylist.txt
172.67.151.134,80,proxylist.txt
66.235.200.202,80,proxylist.txt
172.64.149.30,80,proxylist.txt
188.114.96.69,80,proxylist.txt
172.67.191.62,80,proxylist.txt
23.227.38.205,80,proxylist.txt
108.162.196.229,80,proxylist.txt
172.67.180.66,80,proxylist.txt
172.64.158.20,80,proxylist.txt
172.67.218.243,80,proxylist.txt
172.64.84.62,80,proxylist.txt
66.235.200.59,80,proxylist.txt
172.64.82.247,80,proxylist.txt
66.235.200.102,80,proxylist.txt
141.101.122.1,80,proxylist.txt
172.67.165.41,80,proxylist.txt
172.67.191.245,80,proxylist.txt
172.67.191.238,80,proxylist.txt
172.67.172.150,80,proxylist.txt
23.227.38.251,80,proxylist.txt
172.67.167.1,80,proxylist.txt
45.131.5.145,80,proxylist.txt
172.67.193.120,80,proxylist.txt
104.219.236.127,1080,proxylist.txt
109.236.88.82,80,proxylist.txt
210.209.236.242,80,proxylist.txt
108.162.195.192,80,proxylist.txt
52.229.30.3,80,proxylist.txt
18.216.55.100,80,proxylist.txt
200.85.183.38,4145,proxylist.txt
172.64.154.83,80,proxylist.txt
141.101.123.66,80,proxylist.txt
172.67.248.6,80,proxylist.txt
172.67.146.139,80,proxylist.txt
218.77.183.214,5224,proxylist.txt
23.227.39.251,80,proxylist.txt
23.227.39.128,80,proxylist.txt
172.64.147.2,80,proxylist.txt
172.67.75.172,80,proxylist.txt
141.101.114.67,80,proxylist.txt
108.162.198.188,80,proxylist.txt
172.66.0.156,80,proxylist.txt
172.67.76.247,80,proxylist.txt
141.101.121.161,80,proxylist.txt
188.114.96.224,80,proxylist.txt
216.229.112.25,8080,proxylist.txt
199.102.104.70,4145,proxylist.txt
172.67.117.167,80,proxylist.txt
172.64.155.108,80,proxylist.txt
172.67.182.120,80,proxylist.txt
172.67.72.14,80,proxylist.txt
173.245.49.213,80,proxylist.txt
23.227.38.139,80,proxylist.txt
172.67.70.155,80,proxylist.txt
172.67.136.110,80,proxylist.txt
23.227.38.75,80,proxylist.txt
173.245.58.16,80,proxylist.txt
23.227.60.24,80,proxylist.txt
172.67.167.52,80,proxylist.txt
141.101.120.158,80,proxylist.txt
172.67.182.1,80,proxylist.txt
188.114.96.161,80,proxylist.txt
141.101.122.87,80,proxylist.txt
23.227.38.218,80,proxylist.txt
185.162.228.90,80,proxylist.txt
58.216.109.17,800,proxylist.txt
34.146.60.198,80,proxylist.txt
192.252.208.70,14282,proxylist.txt
174.77.111.198,49547,proxylist.txt
141.101.115.5,80,proxylist.txt
141.101.122.82,80,proxylist.txt
141.101.120.160,80,proxylist.txt
23.227.38.255,80,proxylist.txt
185.146.173.234,80,proxylist.txt
188.114.99.0,80,proxylist.txt
172.67.254.127,80,proxylist.txt
172.67.185.154,80,proxylist.txt
34.124.190.108,8080,proxylist.txt
125.228.94.232,4145,proxylist.txt
130.110.250.13,1111,proxylist.txt
108.162.198.28,80,proxylist.txt
172.67.198.165,80,proxylist.txt
172.67.194.107,80,proxylist.txt
172.67.70.209,80,proxylist.txt
172.67.163.110,80,proxylist.txt
5.161.155.252,80,proxylist.txt
108.162.198.198,80,proxylist.txt
172.67.152.224,80,proxylist.txt
172.64.149.25,80,proxylist.txt
141.101.120.74,80,proxylist.txt
172.67.176.12,80,proxylist.txt
23.227.60.186,80,proxylist.txt
188.114.96.87,80,proxylist.txt
172.67.182.39,80,proxylist.txt
141.101.90.99,80,proxylist.txt
