dest_ip,dest_port,metadata_comment
64.202.184.249,18087,proxy.txt
64.202.184.249,7652,proxy.txt
64.202.184.249,25118,proxy.txt
23.81.207.108,5256,proxy.txt
172.232.236.34,1080,proxy.txt
113.62.166.89,8888,proxy.txt
220.167.89.46,1080,proxy.txt
103.127.223.126,1080,proxy.txt
67.201.58.190,4145,proxy.txt
199.102.104.70,4145,proxy.txt
68.71.242.118,4145,proxy.txt
72.205.0.67,4145,proxy.txt
72.211.46.124,4145,proxy.txt
72.207.109.5,4145,proxy.txt
184.170.251.30,11288,proxy.txt
199.102.106.94,4145,proxy.txt
68.71.241.33,4145,proxy.txt
103.163.244.106,1080,proxy.txt
185.10.129.14,3128,proxy.txt
51.75.126.150,59091,proxy.txt
192.252.215.5,16137,proxy.txt
82.223.165.28,16883,proxy.txt
82.223.165.28,62284,proxy.txt
51.15.205.29,16379,proxy.txt
37.18.73.60,5566,proxy.txt
46.105.105.223,40167,proxy.txt
45.142.193.27,7934,proxy.txt
67.201.33.10,25283,proxy.txt
68.71.249.153,48606,proxy.txt
199.102.105.242,4145,proxy.txt
68.71.240.210,4145,proxy.txt
192.252.215.2,4145,proxy.txt
72.195.34.60,27391,proxy.txt
98.181.137.83,4145,proxy.txt
68.71.249.158,4145,proxy.txt
64.202.184.249,62162,proxy.txt
203.190.8.35,42541,proxy.txt
208.65.90.21,4145,proxy.txt
64.202.184.249,32102,proxy.txt
103.179.156.62,1080,proxy.txt
68.1.210.163,4145,proxy.txt
195.154.184.80,8080,proxy.txt
141.94.206.106,1296,proxy.txt
89.43.31.134,3128,proxy.txt
88.198.212.91,3128,proxy.txt
98.178.72.21,10919,proxy.txt
198.199.86.11,1080,proxy.txt
98.152.200.61,8081,proxy.txt
221.202.27.194,10808,proxy.txt
70.166.167.55,57745,proxy.txt
98.170.57.241,4145,proxy.txt
208.65.90.3,4145,proxy.txt
209.141.45.119,56666,proxy.txt
219.154.210.157,9999,proxy.txt
98.190.239.3,4145,proxy.txt
5.180.174.177,5001,proxy.txt
103.189.218.85,6969,proxy.txt
216.68.128.121,4145,proxy.txt
213.226.122.5,7788,proxy.txt
46.105.105.223,43853,proxy.txt
64.202.184.249,50615,proxy.txt
72.37.216.68,4145,proxy.txt
199.116.114.11,4145,proxy.txt
51.75.126.150,12202,proxy.txt
68.71.254.6,4145,proxy.txt
199.187.210.54,4145,proxy.txt
159.65.128.194,1080,proxy.txt
69.61.200.104,36181,proxy.txt
172.233.14.116,1080,proxy.txt
45.140.143.77,18080,proxy.txt
66.42.224.229,41679,proxy.txt
51.75.126.150,9532,proxy.txt
72.195.101.99,4145,proxy.txt
67.201.33.10,25283,proxy.txt
50.63.12.101,47544,proxy.txt
64.202.184.249,6282,proxy.txt
46.105.105.223,16480,proxy.txt
64.202.184.249,31239,proxy.txt
64.202.184.249,60221,proxy.txt
72.195.34.59,4145,proxy.txt
51.210.111.216,56241,proxy.txt
139.59.1.14,1080,proxy.txt
98.175.31.195,4145,proxy.txt
206.220.175.2,4145,proxy.txt
72.49.49.11,31034,proxy.txt
51.210.111.216,29963,proxy.txt
51.75.126.150,54612,proxy.txt
46.105.105.223,43853,proxy.txt
206.189.57.182,1080,proxy.txt
51.210.111.216,22302,proxy.txt
46.105.105.223,64464,proxy.txt
46.105.105.223,35749,proxy.txt
46.105.105.223,51869,proxy.txt
46.105.105.223,18579,proxy.txt
194.59.205.143,443,proxy.txt
209.97.150.167,1080,proxy.txt
159.203.61.169,1080,proxy.txt
