dest_ip,dest_port,metadata_comment
95.164.206.77,8080,socks4
185.93.89.183,25743,socks4
170.245.132.82,9000,socks4
67.43.236.18,7197,socks4
185.93.89.157,17478,socks4
146.19.91.37,8085,socks4
23.95.250.186,6459,socks4
142.132.169.43,50951,socks4
208.113.222.205,57226,socks4
8.219.196.24,80,socks4
199.96.165.69,8085,socks4
172.67.181.32,80,socks4
72.10.164.178,25939,socks4
47.90.126.78,8118,socks4
51.254.167.41,46587,socks4
194.104.9.125,8085,socks4
50.168.49.109,80,socks4
103.178.194.133,2016,socks4
170.78.144.41,8080,socks4
193.233.88.188,8085,socks4
103.110.34.43,8081,socks4
38.154.224.50,6591,socks4
185.93.89.158,4563,socks4
167.249.171.110,39458,socks4
38.154.206.127,9618,socks4
64.225.8.132,10004,socks4
104.239.13.135,6764,socks4
45.131.7.93,80,socks4
45.131.6.34,80,socks4
202.164.209.69,5020,socks4
103.139.242.181,83,socks4
72.10.160.171,23409,socks4
156.233.87.133,3129,socks4
197.232.253.210,5678,socks4
141.98.87.52,8085,socks4
23.27.75.217,6297,socks4
41.162.94.52,30022,socks4
72.252.4.49,4145,socks4
103.163.13.159,8080,socks4
51.75.126.150,9532,socks4
14.239.24.238,8080,socks4
103.44.13.246,4145,socks4
203.128.80.178,8099,socks4
45.131.4.56,80,socks4
103.191.219.31,7777,socks4
103.210.57.243,80,socks4
194.104.8.85,8085,socks4
37.236.60.35,8080,socks4
72.10.160.174,8087,socks4
103.158.253.186,8199,socks4
43.230.129.54,3333,socks4
36.253.18.38,8181,socks4
142.111.245.72,5939,socks4
182.79.60.210,3129,socks4
124.105.102.167,8082,socks4
185.93.89.191,15154,socks4
185.162.60.46,8080,socks4
185.93.89.151,6328,socks4
166.0.7.228,5689,socks4
8.219.97.248,80,socks4
67.43.236.19,19623,socks4
67.43.228.250,9285,socks4
103.148.44.99,8080,socks4
187.251.134.165,8080,socks4
103.209.248.245,8080,socks4
203.172.225.227,8080,socks4
172.67.167.120,80,socks4
47.90.167.27,8081,socks4
197.232.85.163,8080,socks4
190.121.239.194,999,socks4
67.43.228.252,2259,socks4
203.150.128.221,8080,socks4
45.81.149.254,6686,socks4
185.93.89.163,4572,socks4
38.158.83.241,999,socks4
185.93.89.155,4039,socks4
159.112.235.39,80,socks4
173.249.2.186,45708,socks4
64.49.67.164,5678,socks4
185.93.89.150,8678,socks4
45.131.4.134,80,socks4
68.183.63.141,8080,socks4
206.206.122.201,5832,socks4
188.165.45.156,40278,socks4
185.93.89.188,6400,socks4
72.10.164.178,7355,socks4
104.238.37.219,6776,socks4
167.71.205.47,8080,socks4
185.93.89.158,10817,socks4
188.132.221.51,8080,socks4
185.162.229.99,80,socks4
185.93.89.152,5491,socks4
185.208.180.57,54321,socks4
62.171.171.209,40831,socks4
185.93.89.179,10134,socks4
72.10.164.178,28941,socks4
67.43.236.18,10573,socks4
141.101.121.227,80,socks4
185.93.89.174,7036,socks4
141.101.123.250,80,socks4
141.193.213.104,80,socks4
194.180.232.80,8085,socks4
47.109.83.196,9080,socks4
178.20.213.52,8085,socks4
64.137.83.137,6077,socks4
67.43.228.250,22385,socks4
188.114.97.11,80,socks4
173.212.239.181,10434,socks4
115.42.67.186,8080,socks4
165.16.27.36,1981,socks4
181.78.15.251,999,socks4
185.170.166.36,80,socks4
185.93.89.170,8666,socks4
154.12.253.232,53264,socks4
154.201.34.130,3128,socks4
203.150.113.164,8080,socks4
191.96.117.53,6808,socks4
51.15.5.21,60349,socks4
218.90.167.202,1080,socks4
212.83.142.145,49518,socks4
185.93.89.166,4423,socks4
89.116.229.56,80,socks4
195.74.72.111,5678,socks4
72.10.164.178,3247,socks4
193.202.87.99,8085,socks4
197.234.13.62,4145,socks4
67.43.228.250,14917,socks4
185.93.89.178,4707,socks4
141.101.123.223,80,socks4
85.239.57.224,8085,socks4
64.137.108.217,5810,socks4
179.42.79.1,999,socks4
64.49.39.227,8085,socks4
85.128.16.46,1080,socks4
223.215.177.196,8089,socks4
171.237.97.244,1005,socks4
70.39.91.123,23830,socks4
45.131.6.72,80,socks4
156.235.12.113,3128,socks4
103.189.116.133,8080,socks4
185.93.89.155,18706,socks4
67.43.228.253,13921,socks4
45.131.4.96,80,socks4
72.10.160.90,29933,socks4
128.140.70.51,50603,socks4
201.184.135.155,4145,socks4
67.43.236.18,1815,socks4
91.107.142.20,3128,socks4
211.222.177.244,3128,socks4
172.67.155.148,80,socks4
107.172.116.125,5581,socks4
67.43.236.18,17063,socks4
188.132.222.16,8080,socks4
103.217.224.46,8080,socks4
103.148.29.153,8080,socks4
67.43.228.250,18933,socks4
172.67.3.56,80,socks4
85.209.9.68,3128,socks4
72.10.160.170,6895,socks4
185.93.89.145,32239,socks4
47.91.29.151,3128,socks4
165.225.72.38,11659,socks4
84.46.204.101,6404,socks4
103.175.224.93,4444,socks4
193.163.92.17,8085,socks4
49.148.150.218,8082,socks4
103.81.220.33,8080,socks4
1.20.100.45,43943,socks4
47.91.14.47,80,socks4
152.42.196.170,3128,socks4
185.93.89.168,4546,socks4
185.93.89.165,4115,socks4
172.67.3.78,80,socks4
172.67.183.122,80,socks4
171.41.130.150,2324,socks4
194.104.11.221,8085,socks4
72.10.164.178,17157,socks4
150.230.251.62,8080,socks4
45.138.101.135,8085,socks4
181.10.123.157,999,socks4
172.67.176.26,80,socks4
189.52.165.134,1080,socks4
67.43.236.20,8763,socks4
211.225.214.241,80,socks4
77.83.26.250,8085,socks4
168.227.56.96,8080,socks4
185.35.130.147,58904,socks4
185.93.89.155,12778,socks4
103.67.16.6,4153,socks4
74.48.7.43,80,socks4
67.43.236.21,20345,socks4
172.67.0.41,80,socks4
8.211.195.173,100,socks4
47.76.135.168,8888,socks4
185.93.89.143,4050,socks4
59.47.238.4,8088,http
104.36.166.42,18092,socks4
103.178.171.34,8080,socks4
45.145.131.51,8085,socks4
64.225.8.132,10000,socks4
185.93.89.187,4075,socks4
186.4.147.10,8080,socks4
109.102.254.170,4145,socks4
67.43.228.253,1329,socks4
185.93.89.174,9090,socks4
110.188.37.188,2324,socks4
47.99.112.148,8008,socks4
45.82.65.67,32686,socks4
172.66.45.6,80,socks4
5.8.240.93,4153,socks4
72.10.160.90,31449,socks4
185.93.89.176,24047,socks4
109.70.206.42,5678,socks4
168.119.118.142,22563,socks4
114.103.81.34,8089,socks4
117.131.27.26,80,socks4
147.75.68.201,9443,socks4
67.43.236.21,12929,socks4
200.81.144.9,1080,socks4
89.186.1.172,5678,socks4
85.239.57.104,8085,socks4
203.209.190.154,4153,socks4
185.234.65.66,1080,http
103.156.141.170,8080,socks4
45.186.201.28,8080,socks4
77.108.90.3,1099,socks4
185.93.89.179,24014,socks4
185.162.231.240,80,socks4
5.78.82.159,8080,socks4
27.77.228.137,1080,socks4
188.114.97.95,80,socks4
141.98.85.210,8085,socks4
67.43.228.253,8305,socks4
67.43.228.250,5451,socks4
72.217.158.202,4145,socks4
185.93.89.143,4998,socks4
213.142.152.123,3128,socks4
103.21.244.130,80,socks4
47.252.18.37,80,socks4
129.205.244.158,1080,socks4
157.245.217.254,80,socks4
185.122.168.232,30952,socks4
171.239.237.199,10021,socks4
198.46.241.218,6753,socks4
188.255.244.137,1080,socks4
172.67.180.60,80,socks4
72.10.160.90,20801,socks4
23.227.39.176,80,socks4
45.12.30.95,80,socks4
213.32.252.134,5678,socks4
66.23.233.210,13237,socks4
202.148.12.90,51302,socks4
190.0.247.34,11201,socks4
185.93.89.157,12541,socks4
196.51.75.181,8800,socks4
185.93.89.171,10139,socks4
67.43.228.253,20961,socks4
67.43.236.19,5395,socks4
193.163.207.235,8085,socks4
103.105.76.21,5678,socks4
202.165.47.49,5678,socks4
5.182.34.39,80,socks4
45.220.12.13,8081,socks4
149.51.37.179,3128,socks4
185.162.230.226,80,socks4
173.249.22.85,7092,socks4
45.131.6.9,80,socks4
67.43.236.20,24067,socks4
64.64.118.151,6734,socks4
141.101.122.90,80,socks4
185.226.204.238,5791,socks4
72.10.160.174,27537,http
185.162.228.228,80,socks4
111.72.197.9,2324,socks4
221.216.205.22,4145,socks4
173.212.223.23,7316,socks4
185.93.89.187,8357,socks4
129.213.69.94,80,socks4
103.21.244.2,80,socks4
141.101.123.90,80,socks4
202.29.245.46,32241,socks4
202.51.106.229,8080,socks4
111.72.130.214,2324,socks4
173.212.239.181,34531,socks4
103.234.27.168,1080,socks4
38.52.221.44,999,socks4
118.193.58.234,16465,socks4
185.93.89.169,7406,socks4
197.245.83.20,5678,socks4
167.253.49.247,8085,socks4
172.67.221.193,80,socks4
185.93.89.156,4223,socks4
67.43.236.18,15965,socks4
164.38.155.91,80,socks4
67.43.236.18,10363,socks4
193.40.176.50,4153,socks4
