alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1787669707.1886,elite,1944.0087391697,1785399470.2,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Paris,Europe,EU,France,FR,,false,"Global Connectivity Solutions LLP",48.8558,2.3494,false,"Global Connectivity Solutions LLP",true,Île-de-France,success,Europe/Paris,75001,1787213441,1787669740.3018,1082,socks5,109.172.55.177:1082,true,68.919658660889,46081,35480,56.498816836478,109.172.55.177
true,1787669739.9371,elite,2107.2301618663,1783835088.6084,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Amsterdam,Europe,EU,"The Netherlands",NL,,false,"Global Connectivity Solutions LLP",52.3676,4.90414,false,"Global Connectivity Solutions LLP",true,"North Holland",success,Europe/Amsterdam,1012,1787461429,1787669739.9371,1082,socks4,139.28.240.201:1082,true,43.787002563477,126219,76011,62.413588488355,139.28.240.201
true,1787669739.8649,elite,3009.0119096132,1783291256.0414,"AS12975 PALTEL Autonomous System",PALTEL-AS,Ramallah,Asia,AS,Palestine,PS,,false,"Palestine Telecommunications Company",31.9014,35.1999,false,PALTEL-FTTH,true,"Ramallah and al-Bireh Governorate",success,Asia/Hebron,,1787523205,1787669739.8649,4145,socks4,103.231.105.158:4145,true,348.16980361938,50755,116734,30.303482616769,103.231.105.158
true,1787656038.4788,elite,211.75297209736,1751045092.0026,"AS51167 Contabo GmbH",CONTABO,Karlsruhe,Europe,EU,Germany,DE,,true,"Contabo GmbH",48.9999,8.3732,false,"Contabo GmbH",true,Baden-Wurttemberg,success,Europe/Berlin,76229,1787648843,1787669739.6199,80,http,141.98.153.86:80,false,227.64325141907,423456,69743,85.859054864264,141.98.153.86
true,1787669476.2999,elite,10726.083340325,1787094215.786,"AS24961 WIIT AG",MYLOC-AS,Düsseldorf,Europe,EU,Germany,DE,"Stadtbezirk IX",true,"WIIT AG",51.2673,6.81752,false,"myLoc managed IT AG",false,"North Rhine-Westphalia",success,Europe/Berlin,40472,1787092319,1787669739.4352,3128,http,85.14.247.185:3128,true,16.687631607056,4763,2973,61.569286452947,85.14.247.185
true,1787669739.4158,elite,5110.9933120125,1784815059.6248,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,London,Europe,EU,"United Kingdom",GB,,false,"Global Connectivity Solutions LLP",51.5081,-0.1278,false,"Global Connectivity Solutions LLP",true,England,success,Europe/London,EC1A,1787232980,1787669739.4158,1080,socks5,193.32.176.109:1080,true,658.50210189819,13165,47319,21.766086899015,193.32.176.109
true,1787560148.8221,elite,760.44884754688,1785068506.2894,"AS20081 NET2ATLANTA.COM LLC",NET2ATLANTA,Stockbridge,"North America",NA,"United States",US,,false,"NET2ATLANTA.COM LLC",33.553,-84.2338,false,"NET2ATLANTA.COM LLC",true,Georgia,success,America/New_York,30281,1787485566,1787669739.3975,4145,socks4,199.66.182.243:4145,true,791.61643981934,208651,84,99.959757587372,199.66.182.243
true,1787669739.1989,elite,4382.0567359924,1787623667.1281,"AS9009 M247 Europe SRL",M247,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Secure Internet LLC",50.1109,8.68213,false,"Internet Security - AU",true,Hesse,success,Europe/Berlin,60313,1787622515,1787669739.1989,10931,socks5,45.74.31.30:10931,true,950.9608745575,125,770,13.966480446927,45.74.31.30
true,1787668862.382,anonymous,1518.0878327354,1722429116.2306,"AS4755 TATA Communications formerly VSNL is Leading ISP",TATACOMM-AS,Kolkata,Asia,AS,India,IN,,false,"Tata Communications Limited",22.5643,88.3693,false,"Tata Communications Limited",true,"West Bengal",success,Asia/Kolkata,700001,1787572916,1787669739.0569,80,http,219.65.73.81:80,false,460.36267280579,467337,97054,82.803765474644,219.65.73.81
true,1787650920.041,elite,1486.8295228888,1750931961.8062,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Hangzhou,Asia,AS,China,CN,,false,"China Unicom Zhejiang Province Network",30.2742,120.155,false,,false,Zhejiang,success,Asia/Shanghai,310000,1787632720,1787669738.8821,8085,http,101.66.198.50:8085,false,1111.2332344055,791,1267,38.43537414966,101.66.198.50
