dest_nt_domain,metadata_reference,metadata_list_last_updated
0-ll1xpl-sasa7-web.d6rbpf.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
00000.uno,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
001687489461684165165.iptv-uk-subscriptions.com,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
001dda.top,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
00366291.euro-maconnerie.fr,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
00466628383.click,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
004783942.click,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
0066mtddd.com,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
009297292839391.com,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
0099866g8g.click,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
00bfd200-dpnb2uqcmx3g.edgeone.dev,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
00e62466-77ff-4510-97e6-d1a5a7129513-00-16fdii9g7h452.spock.replit.dev,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
00o0o00o0o.skapi.com,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
0107l7lxplops-mrt4.c5dvkc.sbs,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
0107llx8pl-dulo2.be7bnq.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
010969233.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
010hetong.com,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
010ot1-1xplf4ax2.w6vxrd.sbs,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
010t1lp1-njhpv.ng4voc.casa,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
011-lx-saya3.f8wvpb.sbs,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
0111xp200l-bzjg2.gs5qkd.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
011pxx0l-nexo4.lh4hjt.sbs,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
0121.click,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01289523rt.shop,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
0128990fb.lol,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01384921634.shop,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
014e479b-9b17-403a-ae26-a569d23f7e11-00-3vqkbom6kua7b.pike.replit.dev,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01715577021.icu,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
0171xp0l-qa7s98.vn5rme.sbs,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
017342.pl,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01827667.euro-maconnerie.fr,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
018760220.icu,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01909726.icu,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
019125961.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
019298929.lol,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01960123.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
019601307.icu,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
019602106.icu,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01960231.icu,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01960235.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01960723.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
019659721.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
019689211.icu,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
0196972.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01969792.icu,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
0198969230.cfd,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
019cb848-22df-7f62-aecf-088237139825.mochausercontent.com,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01f23dwf.lat,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01i1xpol-9v84.a5fxid.casa,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01ilxpol-w5vb.iv5php.top,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01ix1p0lgo-poki4.mg1kqm.casa,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
01ixpo1-4bgb.j2istg.top,https://phishing.army/download/phishing_army_blocklist_extended.txt,2026/08/04
